id,civilian_allegation_percentile,honorable_mention_percentile,internal_allegation_percentile,trr_percentile,allegation_count,sustained_count,civilian_compliment_count,race,gender
32568,,,,,0,0,0,Unknown,M
32571,,,,,0,0,0,Unknown,F
32572,,,,,0,0,0,Unknown,F
18923,,0.0000,,,0,0,0,White,M
7354,,0.0000,,,0,0,0,Black,M
13129,,0.0000,,,0,0,0,Black,M
17388,,0.0000,,,0,0,0,White,M
22706,,0.0000,,,0,0,0,White,M
19074,,0.0000,,,0,0,0,Black,M
29734,,0.0000,,,0,0,0,White,M
20287,,0.0000,,,0,0,0,Black,M
2342,,0.0000,,,0,0,0,White,M
15835,,0.0000,,,0,0,0,Black,M
2864,,0.0000,,,0,0,0,White,M
8738,,0.0000,,,0,0,0,Black,F
19249,,0.0000,,,0,0,0,White,M
9575,,0.0000,,,0,0,0,Hispanic,M
11547,,0.0000,,,0,0,0,White,M
17915,,0.0000,,,0,0,0,White,M
18066,,0.0000,,,0,0,0,White,F
19158,,0.0000,,,0,0,0,White,M
7467,,0.0000,,,0,0,0,White,M
20808,,0.0000,,,0,0,0,White,M
19296,,0.0000,,,0,0,0,White,M
14560,,0.0000,,,0,0,0,White,M
13161,,0.0000,,,0,0,0,White,M
32445,0.0000,0.0000,0.0000,0.0000,0,0,0,Black,F
33053,0.0000,0.0000,0.0000,0.0000,0,0,0,Unknown,""
9730,,0.0000,,,0,0,0,White,M
15790,,0.0000,,,0,0,0,White,M
16019,,0.0000,,,0,0,0,White,M
16121,,0.0000,,,0,0,0,White,M
32508,0.0000,0.0000,0.0000,0.0000,0,0,0,Hispanic,M
32511,0.0000,0.0000,0.0000,0.0000,0,0,0,White,M
32518,0.0000,0.0000,0.0000,0.0000,0,0,0,White,F
32501,0.0000,0.0000,0.0000,0.0000,0,0,0,Hispanic,F
33046,0.0000,0.0000,0.0000,0.0000,0,0,0,Unknown,""
26239,,0.0000,,,0,0,0,Black,M
16949,,0.0000,,,0,0,0,White,M
5604,,0.0000,,,0,0,0,White,M
20134,,0.0000,,,0,0,0,White,M
5796,,0.0000,,,0,0,0,White,M
3225,,0.0000,,,0,0,0,Black,M
33672,0.0000,0.0000,0.0000,0.0000,0,0,0,White,M
7337,,0.0000,,,0,0,0,White,M
4359,,0.0000,,,0,0,0,White,M
16014,,0.0000,,,0,0,0,White,M
18397,,0.0000,,,0,0,0,White,M
27943,,0.0000,,,0,0,0,White,M
16992,,0.0000,,,0,0,0,White,M
20953,,0.0000,,,0,0,0,White,M
11698,,0.0000,,,0,0,0,Black,M
31515,,0.0000,,,0,0,0,White,M
1847,,0.0000,,,0,0,0,White,M
30201,,0.0000,,,0,0,0,Black,M
31241,,0.0000,,,0,0,0,Black,M
21037,,0.0000,,,0,0,0,White,F
1903,,0.0000,,,0,0,0,White,M
355,,0.0000,,,0,0,0,Black,M
16974,,0.0000,,,0,0,0,White,M
4148,,0.0000,,,0,0,0,White,M
15678,,0.0000,,,0,0,0,White,M
9946,,0.0000,,,0,0,0,White,M
15515,,0.0000,,,0,0,0,White,M
24273,,0.0000,,,0,0,0,Black,M
22191,,0.0000,,,0,0,0,White,M
32946,,,,,0,0,0,Unknown,F
32604,,,,,0,0,0,Unknown,M
32505,0.0000,0.0000,0.0000,0.0000,0,0,0,Black,F
33061,0.0000,0.0000,0.0000,0.0000,0,0,0,Unknown,""
24755,,0.0000,,,0,0,0,White,M
32534,0.0000,0.0000,0.0000,0.0000,0,0,0,Unknown,F
33041,0.0000,0.0000,0.0000,0.0000,0,0,0,Unknown,""
33043,0.0000,0.0000,0.0000,0.0000,0,0,0,Unknown,""
25734,,0.0000,,,0,0,0,White,M
32546,,,,,0,0,0,White,F
6386,,,,,0,0,0,Black,M
14013,,0.0000,,,0,0,0,White,M
32507,0.0000,0.0000,0.0000,0.0000,0,0,0,Hispanic,M
1212,,0.0000,,,0,0,0,White,M
28316,,,,,0,0,0,White,M
33736,,,,,0,0,0,Black,F
32533,,,,,0,0,0,Unknown,F
33691,,,,,0,0,0,Unknown,""
33844,,,,,0,0,0,Hispanic,F
32881,,,,,0,0,0,Unknown,M
32746,,,,,0,0,0,Unknown,M
29631,,,,,0,0,0,White,M
32538,,,,,0,0,0,Unknown,M
16926,,0.0000,,,0,0,0,White,M
32570,,,,,0,0,0,Unknown,M
14259,,0.0000,,,0,0,0,White,M
15325,,0.0000,,,0,0,0,White,M
33039,0.0000,0.0000,0.0000,0.0000,0,0,0,Unknown,""
15677,,0.0000,,,0,0,0,White,M
21373,,0.0000,,,0,0,0,White,M
23310,,0.0000,,,0,0,0,White,M
23845,,0.0000,,,0,0,0,White,M
33557,,,,,0,0,0,Asian/Pacific,M
4152,,0.0000,,,0,0,0,White,M
4542,,0.0000,,,0,0,0,White,M
33042,0.0000,0.0000,0.0000,0.0000,0,0,0,Unknown,""
32524,0.0000,0.0000,0.0000,0.0000,0,0,0,Black,M
18669,,0.0000,,,0,0,0,White,M
26099,,0.0000,,,0,0,0,White,M
5174,,0.0000,,,0,0,0,White,M
5242,,0.0000,,,0,0,0,White,M
2771,,0.0000,,,0,0,0,White,M
8163,,0.0000,,,0,0,0,White,F
8255,,0.0000,,,0,0,0,White,M
8329,,0.0000,,,0,0,0,White,M
