allegation_id,gender,race
1057800,M,Black
1063444,M,Black
1063442,M,White
1063445,M,Black
1063450,M,Black
1063443,F,Black
1063447,M,White
1063452,M,Black
1063051,F,Black
1062618,M,Black
1062225,M,Black
1062618,M,Black
1060202,F,Black
1063484,F,Black
1063492,"",""
1063481,F,Black
1063493,M,Black
1063787,F,Black
1063791,F,""
1063672,M,Black
1054071,F,Hispanic
1063789,M,White
1063790,F,Black
1063786,M,Asian/Pacific Islander
1063003,M,Black
1063793,M,Hispanic
1063794,F,Black
1063793,M,Hispanic
1063792,M,Hispanic
1062997,M,Black
1062978,M,Hispanic
1058168,M,Black
1061555,M,Black
1062435,M,Black
1063272,F,Black
1063282,F,Black
1063283,F,Black
1063277,M,Black
1063273,"",""
1063279,M,White
1063275,F,Black
1063276,M,Black
1063285,M,Hispanic
1063281,F,Hispanic
1063278,F,Black
1063280,F,Black
1062896,M,Black
1063290,F,Hispanic
1063287,F,Black
1063286,M,White
1063289,F,White
1063288,M,Black
1063033,M,Black
1064491,M,Black
1064492,M,Hispanic
1064487,F,Black
1064493,"",""
1064475,M,White
1064476,M,Hispanic
1064477,M,Hispanic
1064478,M,Black
1064478,F,Black
1064479,M,Black
1064480,M,White
1064486,F,Black
1064488,F,Black
1064482,M,Black
1064489,F,Black
1064485,F,Black
1064487,F,Black
1064484,M,Black
1064481,M,Black
1064483,M,White
1064482,F,Black
1064516,M,Black
1064515,F,White
1064627,F,Black
1064659,M,Black
1064661,M,Black
1064657,M,Black
1064654,M,Hispanic
1064656,F,Black
1064653,M,White
1064655,M,Black
1064658,M,Black
1064660,M,Black
1064648,M,White
1064649,F,Black
1063976,M,Hispanic
1064646,F,Hispanic
1064650,F,Black
1064652,M,Black
1064643,M,Black
1063986,M,Black
1064646,F,Hispanic
1064233,F,Black
1064223,M,Black
1045753,M,White
1064220,F,Asian/Pacific Islander
1064231,M,Black
1064235,M,Hispanic
1064226,F,Black
1064226,F,Black
1064219,M,White
1030456,M,Black
1064248,M,Hispanic
1064245,M,Black
1064255,M,Hispanic
1064256,F,Black
1064250,F,Black
1064251,M,Black
1064254,F,Black
1064252,M,Black
1064249,F,Black
1064241,M,White
1056467,M,Black
1064440,M,Black
1064443,F,White
1064446,M,Black
1023500,M,Black
1047248,M,Black
1047712,M,Black
1049208,M,Black
1049208,M,Black
1054855,M,Black
1054855,F,Black
1060890,M,Black
1062598,F,Black
1064234,F,Black
1063575,M,Black
1063812,M,Black
1064597,F,Black
1064599,M,""
1064600,M,Black
1064052,M,Black
1063706,M,Black
1063812,M,Black
1063812,M,Black
1063812,M,Black
1063790,F,Black
1064052,M,Black
1064598,M,Black
1064602,M,Black
1064603,M,Black
1064601,M,Black
1064604,M,Black
1064603,F,Black
1064606,M,White
1064605,F,White
1063414,M,Black
1063240,F,Black
1063516,M,Hispanic
1063297,M,White
1063514,M,Black
1064799,F,Black
1064795,M,Hispanic
1064793,M,Black
1064800,F,""
1064797,M,""
1064794,F,White
1053117,M,Black
1063677,F,Black
1059390,F,Hispanic
1063102,M,White
1060282,M,Black
1064368,M,White
1064312,F,White
1064312,M,White
1064605,F,White
1064824,F,Black
1064822,M,Black
1064827,F,Black
1064825,F,White
1064259,F,Black
1063415,M,Black
1064260,M,Black
1064257,M,Black
1064258,M,Black
1064262,M,Black
1064261,F,Black
1063346,F,Black
1063530,M,White
1063857,F,Black
1063904,M,Black
1062685,F,Black
1061540,M,Black
1062788,M,White
1064532,F,Black
1064554,F,Black
1064551,F,Black
1064552,F,Black
1064549,F,White
1064548,F,Black
1064546,F,White
1064545,M,White
1064553,M,Black
1064550,F,Black
1064544,M,Black
1064547,"",""
1063770,M,Black
1063773,F,White
1064556,F,White
1064555,M,Black
1064485,F,Black
1063960,M,Black
1063953,F,White
1064536,M,White
1064538,F,Black
1063300,F,White
1063340,M,Black
1063349,M,Black
1063507,M,Black
1061121,F,Black
1063217,F,Black
1063300,M,White
1063336,M,White
1063367,F,Black
1063217,M,Black
1064596,F,Hispanic
1064713,M,Black
1064705,M,Black
1064709,M,Black
1064704,M,White
1064703,M,White
1064712,M,White
1064706,F,Black
1064706,M,Black
1064713,M,Black
1064708,M,Black
1064714,F,Black
1064715,M,Black
1064823,M,Black
1064826,M,Black
1064821,M,Black
1064828,M,Black
1064799,M,Black
1064812,M,Black
1064820,F,""
1064809,F,Black
1064810,F,Hispanic
1064804,M,Black
1064811,M,Asian/Pacific Islander
1064716,F,White
1064814,F,White
1064818,F,White
1064813,F,Black
1064816,M,Black
1064817,F,Black
1064819,M,Hispanic
1064815,F,Black
1058051,M,Hispanic
1060429,F,Hispanic
1063622,M,""
1064510,M,Black
1064508,M,Hispanic
1063737,M,Black
1064509,M,Black
1064507,F,Black
1063737,M,Black
1058051,F,Hispanic
1064506,F,Black
1064511,"",""
1064513,F,Black
1064514,M,White
1064512,F,White
1063858,F,Black
1064233,F,Black
1063991,F,Hispanic
1064497,"",""
1064535,F,Black
1064240,M,Black
1064543,M,Black
1064537,M,Black
1064542,F,White
1064541,F,White
1064533,F,Black
1064539,F,Hispanic
1064356,F,White
1064534,M,Black
1035129,M,Black
1035129,M,Black
1035129,F,Black
